Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
24,0.000,-27.5529,1.000,-27.5529,0.000,-27.5529,1689.22,0.06,1000.29,75.80,1000.00,2000.00,1000.00,0.30,0.82,183.74,-0.10,-0.12,0.99,0.03,0.99,0.12,0.99,-0.04,0.10,1.4161804
25,0.500,-27.3792,0.500,-27.3792,0.500,-27.3792,1687.53,0.07,1000.30,78.86,1000.00,2000.00,1000.00,0.30,0.72,183.89,-0.11,-0.13,0.99,0.03,0.99,0.13,0.99,-0.04,0.11,1.4751416
26,0.000,-27.3167,1.000,-27.3167,0.000,-27.3167,1685.85,0.07,1000.31,81.93,1000.00,2000.00,1000.00,0.28,0.60,184.05,-0.12,-0.14,0.98,0.02,0.99,0.14,0.99,-0.04,0.12,1.3101939
27,0.000,-27.1678,0.500,-27.1678,0.500,-27.1678,1684.17,0.08,1000.32,85.00,1000.00,2000.00,1000.00,0.27,0.46,184.20,-0.14,-0.15,0.98,0.02,0.99,0.15,0.99,-0.04,0.13,1.4592568
28,0.000,-27.0372,0.500,-27.0372,0.500,-27.0372,1682.50,0.08,1000.32,88.07,1000.00,2000.00,1000.00,0.24,0.30,184.35,-0.15,-0.16,0.98,0.01,0.99,0.17,0.99,-0.03,0.14,1.4438809
29,0.000,-26.9340,1.000,-26.9340,0.000,-26.9340,1680.83,0.09,1000.32,91.15,1000.00,2000.00,1000.00,0.22,0.14,184.50,-0.16,-0.18,0.97,0.00,0.98,0.18,0.99,-0.03,0.16,1.4107890
30,0.500,-26.7037,0.500,-26.7037,0.500,-26.7037,1679.17,0.09,1000.32,94.22,1000.00,2000.00,1000.00,0.19,-0.07,184.64,-0.17,-0.19,0.97,-0.01,0.98,0.19,0.99,-0.03,0.17,1.4985293
31,0.000,-26.6448,1.000,-26.6448,0.000,-26.6448,1677.51,0.09,1000.32,97.30,1000.00,2000.00,1000.00,0.15,-0.27,184.78,-0.18,-0.20,0.96,-0.02,0.98,0.20,0.98,-0.02,0.18,1.2953063
32,0.000,-26.4983,1.000,-26.4983,0.000,-26.4983,1675.86,0.09,1000.31,100.38,1000.00,2000.00,1000.00,0.12,-0.48,184.92,-0.19,-0.22,0.96,-0.03,0.98,0.22,0.98,-0.02,0.20,1.4575057
33,0.500,-26.2679,0.500,-26.2679,0.500,-26.2679,1674.21,0.10,1000.30,103.47,1000.00,2000.00,1000.00,0.08,-0.72,185.05,-0.21,-0.23,0.95,-0.04,0.97,0.23,0.98,-0.01,0.21,1.4985675
