Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
20,0.000,-30.2068,0.000,-30.2066,0.500,-30.2066,1696.09,-0.03,1000.14,63.54,1000.00,2000.00,1000.00,-0.16,0.99,182.83,0.06,0.07,1.00,0.05,1.00,-0.07,1.00,-0.06,-0.06,-0.6281967
21,0.668,-30.2318,0.726,-30.2318,1.000,-30.2318,1694.40,-0.03,1000.16,66.59,1000.00,2000.00,1000.00,-0.15,1.12,182.94,0.07,0.08,0.99,0.06,1.00,-0.08,1.00,-0.06,-0.07,-0.9865333
22,0.673,-30.2415,0.768,-30.2416,0.500,-30.2416,1692.71,-0.03,1000.18,69.64,1000.00,2000.00,1000.00,-0.13,1.26,183.05,0.08,0.08,0.99,0.06,0.99,-0.09,0.99,-0.07,-0.07,-0.5285657
23,0.627,-30.2835,0.025,-30.2835,1.000,-30.2835,1691.02,-0.04,1000.20,72.69,1000.00,2000.00,1000.00,-0.11,1.42,183.15,0.09,0.09,0.99,0.07,0.99,-0.10,0.99,-0.08,-0.08,-1.1928256
24,0.630,-30.3007,0.042,-30.3008,0.500,-30.3008,1689.34,-0.04,1000.23,75.75,1000.00,2000.00,1000.00,-0.09,1.58,183.24,0.10,0.10,0.99,0.07,0.99,-0.11,0.99,-0.08,-0.09,-0.8032046
25,0.615,-30.3287,0.007,-30.3288,0.525,-30.3288,1687.65,-0.04,1000.26,78.80,1000.00,2000.00,1000.00,-0.05,1.76,183.33,0.11,0.11,0.99,0.08,0.99,-0.12,0.99,-0.09,-0.10,-1.0339435
26,0.630,-30.3663,0.547,-30.3664,1.000,-30.3664,1685.96,-0.04,1000.29,81.86,1000.00,2000.00,1000.00,-0.02,1.95,183.41,0.12,0.12,0.99,0.08,0.99,-0.13,0.99,-0.10,-0.11,-1.1532166
27,0.599,-30.4010,0.081,-30.4012,1.000,-30.4013,1684.28,-0.04,1000.33,84.92,1000.00,2000.00,1000.00,0.03,2.16,183.48,0.13,0.13,0.98,0.09,0.99,-0.14,0.99,-0.10,-0.12,-1.1255277
28,0.609,-30.4281,0.566,-30.4281,0.500,-30.4281,1682.60,-0.04,1000.37,87.97,1000.00,2000.00,1000.00,0.08,2.39,183.54,0.14,0.14,0.98,0.09,0.98,-0.15,0.99,-0.11,-0.13,-1.0142472
29,0.600,-30.4680,0.650,-30.4683,0.895,-30.4689,1680.91,-0.04,1000.41,91.03,1000.00,2000.00,1000.00,0.14,2.64,183.60,0.16,0.15,0.98,0.09,0.98,-0.16,0.98,-0.12,-0.14,-1.1829383
30,0.585,-30.5016,0.254,-30.5017,0.512,-30.5016,1679.23,-0.03,1000.46,94.10,1000.00,2000.00,1000.00,0.20,2.91,183.64,0.17,0.16,0.97,0.10,0.98,-0.18,0.98,-0.13,-0.15,-1.0999687
31,0.589,-30.5391,0.325,-30.5394,0.586,-30.5394,1677.54,-0.03,1000.51,97.16,1000.00,2000.00,1000.00,0.28,3.20,183.67,0.18,0.17,0.97,0.10,0.98,-0.19,0.98,-0.13,-0.16,-1.1549228
32,0.568,-30.5829,0.287,-30.5831,1.000,-30.5830,1675.86,-0.02,1000.57,100.22,1000.00,2000.00,1000.00,0.36,3.51,183.69,0.20,0.18,0.96,0.10,0.97,-0.20,0.97,-0.14,-0.17,-1.2059510
33,0.575,-30.6180,0.365,-30.6181,0.491,-30.6182,1674.17,-0.01,1000.64,103.28,1000.00,2000.00,1000.00,0.45,3.84,183.70,0.21,0.19,0.96,0.11,0.97,-0.21,0.97,-0.15,-0.19,-1.1282086
34,0.561,-30.6614,0.427,-30.6616,1.000,-30.6615,1672.49,-0.00,1000.71,106.34,1000.00,2000.00,1000.00,0.55,4.19,183.69,0.23,0.20,0.95,0.11,0.97,-0.22,0.97,-0.15,-0.20,-1.2037530
35,0.555,-30.6985,0.486,-30.6985,0.668,-30.6985,1670.80,0.01,1000.78,109.40,1000.00,2000.00,1000.00,0.66,4.57,183.66,0.24,0.20,0.95,0.11,0.97,-0.24,0.96,-0.16,-0.21,-1.1470333
36,0.554,-30.7375,0.567,-30.7375,0.481,-30.7374,1669.12,0.02,1000.87,112.46,1000.00,2000.00,1000.00,0.77,4.96,183.63,0.26,0.21,0.94,0.11,0.96,-0.25,0.96,-0.17,-0.22,-1.1664724
37,0.550,-30.7762,0.481,-30.7766,0.726,-30.7767,1667.43,0.03,1000.96,115.52,1000.00,2000.00,1000.00,0.90,5.36,183.57,0.27,0.22,0.94,0.11,0.96,-0.26,0.96,-0.17,-0.24,-1.1697240
38,0.534,-30.8162,0.558,-30.8160,0.815,-30.8162,1665.74,0.05,1001.05,118.58,1000.00,2000.00,1000.00,1.03,5.79,183.50,0.29,0.23,0.93,0.11,0.96,-0.27,0.95,-0.18,-0.25,-1.1712362
39,0.533,-30.8515,0.397,-30.8516,0.771,-30.8516,1664.05,0.07,1001.16,121.64,1000.00,2000.00,1000.00,1.16,6.23,183.41,0.30,0.24,0.92,0.11,0.95,-0.28,0.95,-0.19,-0.26,-1.1311293
40,0.465,-30.8881,0.549,-30.8882,0.863,-30.8882,1662.36,0.09,1001.27,124.69,1000.00,2000.00,1000.00,1.31,6.68,183.31,0.32,0.25,0.92,0.11,0.95,-0.29,0.94,-0.19,-0.28,-1.1434053
41,0.525,-30.9222,0.479,-30.9227,0.781,-30.9225,1660.67,0.12,1001.39,127.75,1000.00,2000.00,1000.00,1.46,7.15,183.19,0.33,0.25,0.91,0.11,0.95,-0.30,0.94,-0.20,-0.29,-1.1178925
42,0.480,-30.9575,0.568,-30.9573,0.774,-30.9575,1658.98,0.14,1001.51,130.80,1000.00,2000.00,1000.00,1.62,7.63,183.06,0.35,0.26,0.90,0.11,0.94,-0.31,0.93,-0.21,-0.30,-1.1265446
43,0.514,-30.9882,0.456,-30.9883,0.759,-30.9885,1657.28,0.17,1001.65,133.85,1000.00,2000.00,1000.00,1.78,8.12,182.91,0.37,0.26,0.89,0.11,0.94,-0.32,0.92,-0.21,-0.32,-1.0775496
44,0.508,-31.0193,0.464,-31.0195,0.739,-31.0194,1655.59,0.21,1001.79,136.89,1000.00,2000.00,1000.00,1.95,8.62,182.74,0.38,0.27,0.88,0.10,0.94,-0.33,0.92,-0.22,-0.33,-1.0769074
45,0.505,-31.0490,0.440,-31.0491,0.725,-31.0490,1653.89,0.24,1001.94,139.93,1000.00,2000.00,1000.00,2.12,9.12,182.56,0.40,0.28,0.88,0.10,0.93,-0.34,0.91,-0.22,-0.34,-1.0579537
46,0.504,-31.0774,0.450,-31.0773,0.706,-31.0774,1652.19,0.28,1002.10,142.97,1000.00,2000.00,1000.00,2.30,9.64,182.36,0.41,0.28,0.87,0.10,0.93,-0.35,0.91,-0.23,-0.36,-1.0395477
47,0.503,-31.1044,0.477,-31.1045,0.678,-31.1045,1650.49,0.32,1002.27,146.01,1000.00,2000.00,1000.00,2.49,10.16,182.15,0.43,0.29,0.86,0.09,0.93,-0.36,0.90,-0.23,-0.37,-1.0190952
48,0.502,-31.1298,0.487,-31.1303,0.668,-31.1302,1648.79,0.37,1002.45,149.04,1000.00,2000.00,1000.00,2.67,10.70,181.92,0.44,0.29,0.85,0.09,0.93,-0.36,0.89,-0.24,-0.38,-0.9966472
